rent,br,ft2
9500.0,2.0,800.0
2350.0,1.0,650.0
2160.0,4.0,1898.0
3050.0,4.0,1979.0
4200.0,1.0,650.0
2155.0,1.0,611.0
1900.0,2.0,1314.0
2900.0,2.0,800.0
2300.0,2.0,850.0
2320.0,3.0,1598.0
1800.0,2.0,1100.0
2675.0,1.0,701.0
2270.0,2.0,831.0
2425.0,2.0,800.0
2400.0,2.0,1073.0
2585.0,4.0,2007.0
3800.0,1.0,650.0
2155.0,2.0,800.0
2300.0,2.0,800.0
2300.0,1.0,611.0
